id,time,place,magnitude,longitude,latitude,depth,status,type,url
nn00577951,1483142337877,"29 km WSW of Hawthorne, Nevada",0.7,-118.9197,38.3916,8.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577951
nn00577949,1483142243649,"30 km SSW of Walker Lake, Nevada",0.7,-118.9468,38.4214,7.2,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577949
nn00577947,1483141210522,"27 km SW of Hawthorne, Nevada",0.8,-118.8886,38.3827,10.2,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577947
ci37774136,1483141158210,"16km NNE of Boron, CA",1.32,-117.5543333,35.126,4.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37774136
uu60178682,1483141147690,"18 km SSE of Saint George, Utah",1.59,-113.5195,36.946,6.31,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60178682
nc72746375,1483141146860,"5 km SW of Cobb, California",1.77,-122.77,38.7901667,3.34,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72746375
ak016gs12w9p,1483141130534,"27 km ESE of Denali National Park, Alaska",1.0,-151.2242,63.4281,0.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak016gs12w9p
nc72746380,1483141093070,"10 km WNW of Cobb, California",1.11,-122.8416672,38.8433342,1.53,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72746380
nn00577945,1483140964724,"28 km WSW of Hawthorne, Nevada",0.7,-118.9077,38.4021,8.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577945
nn00571576,1483140784135,"27 km WSW of Hawthorne, Nevada",0.8,-118.8905,38.3917,10.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571576
nn00571574,1483140427910,"27 km ENE of Bridgeport, California",1.2,-118.9277,38.3202,10.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571574
nn00577944,1483140275006,"28 km WSW of Hawthorne, Nevada",0.7,-118.9092,38.3919,7.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577944
us10007nu4,1483140032900,"5 km WSW of Perry, Oklahoma",2.6,-97.3431,36.2665,7.844,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us10007nu4
nn00571572,1483140019506,"29 km WSW of Hawthorne, Nevada",1.2,-118.9139,38.3876,5.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571572
nn00577936,1483139833151,"26 km WSW of Hawthorne, Nevada",0.7,-118.8878,38.4102,7.2,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577936
nc72746370,1483139633700,"3 km ESE of Mammoth Lakes, California",0.36,-118.9381667,37.6408333,4.84,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72746370
uu60178642,1483139490490,"11 km WSW of Portage, Utah",1.04,-112.353,41.9208333,4.46,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60178642
nc72746365,1483139146470,California-Nevada border region,0.75,-118.9345,37.6388333,6.05,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72746365
nn00577934,1483139003441,California-Nevada border region,0.7,-118.8817,38.3933,11.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577934
pr16365005,1483138991800,"124 km N of Charlotte Amalie, U.S. Virgin Islands",3.5,-65.0335,19.4661,36.0,REVIEWED,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr16365005
nn00571565,1483138971717,"30 km WSW of Hawthorne, Nevada",1.1,-118.9429,38.4154,8.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00571565
ak016gs0lvp2,1483138751580,"62 km ENE of Chase, Alaska",1.3,-149.0012,62.6877,62.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak016gs0lvp2
nn00577930,1483138528671,"29 km WSW of Hawthorne, Nevada",0.6,-118.9173,38.3889,8.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00577930
