id,time,place,magnitude,longitude,latitude,depth,status,type,url
nc72571865,1451519807360,"9 km WNW of Cobb, California",0.57,-122.8321686,38.8448334,1.5,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571865
nn00524917,1451519646105,"56 km NNW of Indian Springs, Nevada",0.2,-115.9943,37.0121,5.2,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00524917
nn00524756,1451519545108,"43 km E of Fort Bidwell, California",2.7,-119.6296,41.847,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00524756
nc72571850,1451519508160,"4 km WSW of Cobb, California",0.21,-122.7688333,38.814,0.73,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571850
nc72571845,1451519020560,"10 km W of Cobb, California",0.46,-122.8488312,38.8226662,1.22,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571845
nc72571840,1451518616550,"8 km W of Cobb, California",0.56,-122.8231659,38.8093338,2.95,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571840
ci37508712,1451518099580,"2km NW of Cabazon, CA",2.27,-116.8066667,33.9298333,16.31,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37508712
ak015gqdg2ew,1451517745848,"45 km E of Denali National Park, Alaska",1.2,-150.8025,63.5091,13.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak015gqdg2ew
us10004aif,1451517656840,"101 km SE of Gorontalo, Indonesia",4.6,123.8194,0.0229,143.05,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us10004aif
us10004bu8,1451517481800,"Ryukyu Islands, Japan",4.4,130.3759,29.3009,30.91,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us10004bu8
ak015gqdebn4,1451517252328,"36 km SSW of Cantwell, Alaska",1.7,-149.2601,63.0932,70.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak015gqdebn4
ci37508696,1451516550950,"11km ENE of Borrego Springs, CA",1.09,-116.2588333,33.2871667,2.76,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37508696
us10004ai8,1451514275600,"5 km NNE of Maramec, Oklahoma",2.5,-96.6616,36.2848,3.902,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us10004ai8
ak015gqcu17b,1451513985836,"95 km S of Unalaska, Alaska",1.9,-166.7224,53.0267,24.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak015gqcu17b
nc72571820,1451513856900,"22 km SE of Kettleman City, California",1.93,-119.8141667,35.8453333,5.37,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571820
nc72571815,1451513737990,"4 km ESE of Mammoth Lakes, California",0.26,-118.9291667,37.636,5.36,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571815
ci37508680,1451512809600,"9km ESE of Valle Vista, CA",0.9,-116.815,33.7048333,15.19,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37508680
nc72571800,1451512581680,"7 km W of Aspen Springs, California",0.21,-118.803,37.5531667,7.32,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72571800
us10004buc,1451512537000,"60 km NE of Calama, Chile",4.3,-68.527,-22.053,107.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us10004buc
ci37508672,1451512248450,"4km SSW of Devore, CA",1.69,-117.416,34.1898333,6.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37508672
