id,time,place,magnitude,longitude,latitude,depth,status,type,url
mb80481764,1609371695760,"33 km NW of Stanley, Idaho",1.76,-115.197,44.4606667,4.58,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80481764
nc73504705,1609371294910,"8km WNW of Cobb, CA",0.58,-122.8103333,38.855835,0.98,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504705
ak020gs11zou,1609371269069,"19 km N of Skwentna, Alaska",1.4,-151.4463,62.1634,90.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020gs11zou
nc71119499,1609371218860,"8km WNW of Cobb, CA",1.36,-122.8116667,38.8546667,0.94,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc71119499
nc73504695,1609371217330,"8km WNW of Cobb, CA",1.4,-122.8103333,38.8556667,0.93,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504695
ak020gs11cmg,1609371089361,"39 km SSE of Adak, Alaska",1.6,-176.3807,51.5579,33.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020gs11cmg
ci39507567,1609370536310,"3km W of Costa Mesa, CA",1.13,-117.9463333,33.6626667,11.55,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507567
nn00795385,1609370218700,Nevada,1.4,-117.9455,38.1752,6.7,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795385
pr2020365021,1609370098960,"8 km SSE of Maria Antonia, Puerto Rico",2.53,-66.8536,17.9143,12.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020365021
nn00795384,1609370085854,"25 km S of Mina, Nevada",0.6,-118.0894,38.1625,4.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795384
ci39507559,1609369537140,"24km ENE of Thermal, CA",1.21,-115.9225,33.7561667,3.77,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507559
us6000d4fn,1609369380251,"38 km SW of Sarangani, Philippines",4.6,125.2581,5.1231,54.13,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d4fn
ok2020zquk,1609368791289,"10 km NNE of Quinlan, Oklahoma",1.78,-98.98283333,36.531,7.71,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ok2020zquk
pr2020365020,1609368568540,"5 km SW of La Parguera, Puerto Rico",2.74,-67.0918,17.9433,7.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020365020
ci39507551,1609368169420,"16km SSE of Bodfish, CA",1.1,-118.4388333,35.4521667,5.22,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507551
uw61707556,1609368061550,"2 km SSW of Ravensdale, Washington",2.25,-121.998666666667,47.332,19.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uw61707556
uu60423062,1609367872070,"13 km E of Island Park, Idaho",0.85,-111.209,44.4408333,18.06,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60423062
ci39507543,1609367814940,"24km ENE of Thermal, CA",2.4,-115.9195,33.7525,3.87,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507543
nc73504680,1609367564520,"15km NNE of Morgan Hill, CA",1.42,-121.6161667,37.2588333,8.66,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504680
ak020gs0fpnw,1609367434439,"39 km NE of Pedro Bay, Alaska",1.9,-153.5241,59.989,134.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020gs0fpnw
nn00795382,1609367056310,"32 km SE of Mina, Nevada",1.0,-117.8728,38.1625,5.9,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795382
ak020gs0dach,1609366742444,"13 km N of Minto, Alaska",1.4,-149.3875,65.2697,14.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020gs0dach
ok2020zqta,1609366247950,"10 km NE of Quinlan, Oklahoma",1.28,-98.98216667,36.52983333,7.97,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ok2020zqta
ok2020zqsz,1609366225239,"10 km NE of Quinlan, Oklahoma",1.39,-98.97933333,36.53033333,7.61,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ok2020zqsz
hv72304957,1609366005510,"6 km E of P?hala, Hawaii",1.99000001,-155.414169311523,19.2145004272461,31.9099998474121,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72304957
hv72000123,1609365972810,"10 km SW of Volcano, Hawaii",0.75,-155.2925,19.369,8.89,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72000123
ak020gs0a3df,1609365852852,"44 km WNW of Clam Gulch, Alaska",1.8,-152.1439,60.3861,85.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020gs0a3df
nn00795379,1609365760510,"26 km S of Mina, Nevada",0.9,-118.0715,38.1577,7.2,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795379
mb80481759,1609365759550,"18 km WNW of Stanley, Idaho",1.7,-115.1396667,44.3051667,6.32,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80481759
uu60423057,1609365665940,"16 km NE of Georgetown, Idaho",1.96,-111.2115,42.5693333,1.55,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60423057
us6000d6se,1609365496073,north of Ascension Island,4.7,-13.6612,-1.2508,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d6se
ci39507519,1609365193550,"14km NE of Coso Junction, CA",0.77,-117.8228333,36.1265,3.51,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507519
nn00795378,1609365176860,"40 km SE of Mina, Nevada",0.8,-117.7324,38.1834,12.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795378
mb80481864,1609365113320,"3 km W of Ponderosa Pines, Montana",1.13,-111.4058333,46.0318333,5.85,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80481864
ak020grzyq4s,1609365069211,"41 km WNW of Beluga, Alaska",1.8,-151.8254,61.2478,91.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020grzyq4s
us6000d7ma,1609365066704,"85 km SSE of Sand Point, Alaska",2.5,-159.8384,54.6724,28.23,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d7ma
nn00795376,1609364876830,"32 km SE of Mina, Nevada",1.1,-117.8743,38.1665,7.9,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795376
pr2020365019,1609364470540,"139 km N of Cruz Bay, U.S. Virgin Islands",3.63,-64.5848,19.578,24.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020365019
nn00795374,1609364301970,"31 km SSE of Mina, Nevada",0.9,-117.9178,38.1505,11.8,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795374
ak020grzumxf,1609363920838,"78 km WNW of Skwentna, Alaska",0.8,-152.7512,62.2975,0.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020grzumxf
pr2020365018,1609363781170,"6 km WSW of La Parguera, Puerto Rico",3.06,-67.1025,17.9591,9.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020365018
us6000d4f2,1609363652633,"40 km E of Baganga, Philippines",4.6,126.9172,7.6359,53.27,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d4f2
mb80481874,1609363621460,"41 km W of Hebgen Lake Estates, Montana",1.14,-111.7108333,44.7903333,8.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80481874
us6000d7m9,1609363502536,"86 km SSE of Sand Point, Alaska",2.8,-159.8291,54.6597,23.84,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000d7m9
ci39507471,1609363478610,"24km ENE of Thermal, CA",1.5,-115.92,33.7538333,5.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507471
ci37464101,1609363475480,"23km ENE of Thermal, CA",1.14,-115.9281667,33.75,3.66,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37464101
ci39507463,1609363474690,"14km SW of Searles Valley, CA",0.89,-117.5295,35.6868333,11.22,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507463
ci39507447,1609363027380,"24km ENE of Thermal, CA",1.19,-115.9223333,33.7503333,5.11,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39507447
nc73504670,1609362842970,"10km WNW of Cobb, CA",0.57,-122.8288345,38.8438339,2.07,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504670
ak020grzop8f,1609362271350,"79 km SSW of Atka, Alaska",1.9,-174.4463,51.5011,25.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020grzop8f
nn00795373,1609362264830,"33 km NW of Benton, California",1.2,-118.7385,38.0432,0.9,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00795373
nc73504660,1609361957370,"4km NE of Tres Pinos, CA",2.01,-121.2816667,36.817,6.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504660
pr2020365017,1609361835530,"7 km SW of La Parguera, Puerto Rico",2.14,-67.0946,17.929,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2020365017
nc73504655,1609361801560,"40km NNE of Toms Place, CA",1.87,-118.562,37.9095,-1.64,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73504655
ak020grzedc3,1609361772313,"70 km S of Kokhanok, Alaska",2.7,-154.8322,58.8061,127.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak020grzedc3
