id,time,place,magnitude,longitude,latitude,depth,status,type,url
us6000pgkh,1735602989977,"80 km NW of Kandrian, Papua New Guinea",4.6,148.9729,-5.7603,127.013,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pgkh
hv74580857,1735602970470,"4 km NE of Hala‘ula, Hawaii",2.47,-155.754333333333,20.2676666666667,39.29,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv74580857
nc75110001,1735602521250,"3 km ENE of The Geysers, CA",1.04,-122.733665466309,38.7919998168945,1.75999999046326,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc75110001
ak024gs14jau,1735602375921,"46 km ENE of Pedro Bay, Alaska",2.2,-153.3502,59.959,126.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak024gs14jau
us6000pgkd,1735602033868,"247 km ENE of Levuka, Fiji",4.6,-178.3937,-17.6089,573.817,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pgkd
ak024gs132wy,1735601977619,"51 km SSE of Nelchina, Alaska",1.5,-146.2502,61.6051,24.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak024gs132wy
ak024gs12oug,1735601874324,"57 km WSW of Adak, Alaska",1.8,-177.329,51.5893,18.8,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak024gs12oug
us6000pj75,1735601854358,Kermadec Islands region,4.0,-179.7246,-31.5828,201.998,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pj75
us6000pj76,1735601787672,"46 km SE of Debre Sīna, Ethiopia",4.3,40.0566,9.5417,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pj76
us6000pgkb,1735601459974,"24 km N of Metahāra, Ethiopia",4.7,39.9276,9.1189,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pgkb
nc75109986,1735601251700,"6 km WNW of Cobb, CA",0.34,-122.788666666667,38.8231666666667,1.61,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc75109986
nc75109981,1735601108610,"8 km WNW of Cobb, CA",0.25,-122.807666666667,38.8388333333333,2.57,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc75109981
uu80098881,1735600572190,"3 km SW of Hebgen Lake Estates, Montana",0.72,-111.225166666667,44.7493333333333,11.98,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu80098881
us6000pj77,1735600569495,"181 km WNW of Pangai, Tonga",4.6,-175.9927,-19.2777,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us6000pj77
ok2024zqux,1735600104539,"8 km WNW of Prague, Oklahoma",0.69,-96.7625,35.52583333,5.79,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ok2024zqux
pr71469753,1735599644820,"9 km SW of Guánica, Puerto Rico",2.37,-66.9746666666667,17.92,16.05,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr71469753
