id,time,place,magnitude,longitude,latitude,depth,status,type,url
ci37842271,1514677714430,"8km NE of Aguanga, CA",1.21,-116.7918333,33.4881667,4.38,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842271
us1000byd4,1514677571940,"15 km N of Weston, Colorado",4.0,-104.8631,37.2734,4.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us1000byd4
ak017gqdjyv3,1514677246070,"79 km NNW of Alatna, Alaska",1.0,-153.3561,67.2186,10.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak017gqdjyv3
ci37842255,1514676964120,"6km N of Big Bear City, CA",1.08,-116.8423333,34.3153333,1.44,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842255
us1000byd0,1514676245260,"61 km E of Kyzyl-Eshme, Kyrgyzstan",4.6,72.9721,39.4604,21.53,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us1000byd0
ak017gqdgbbp,1514676221336,"77 km NNW of Elim, Alaska",1.4,-162.5924,65.3007,10.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak017gqdgbbp
ci37842247,1514676166650,"20km SSW of La Quinta, CA",0.61,-116.4011667,33.4956667,8.14,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842247
nc72946411,1514675734120,"6km WNW of Cobb, CA",0.97,-122.79,38.8331667,1.88,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946411
ci37842239,1514675732670,"8km NE of Aguanga, CA",0.09,-116.7913333,33.489,4.94,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842239
nc72946401,1514675022400,"23km NW of Parkfield, CA",0.84,-120.611,36.0458333,4.71,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946401
nc72946406,1514674963680,"2km N of Round Valley, CA",0.96,-118.6028333,37.4371667,10.99,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946406
ci37842223,1514674800460,"21km SSW of La Quinta, CA",1.32,-116.4081667,33.4915,5.46,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842223
pr2017364004,1514673968770,"60 km NW of Rincón, Puerto Rico",2.94,-67.6208,18.7585,71.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2017364004
uu60263542,1514673836080,"6 km ESE of Hebgen Lake Estates, Montana",0.28,-111.1175,44.7461667,7.33,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60263542
ci37842215,1514673763800,"6km N of Big Bear City, CA",1.5,-116.842,34.3168333,1.41,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842215
ak017gqcyqba,1514673697505,"68 km SSE of Atka, Alaska",2.0,-173.794,51.633,19.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak017gqcyqba
ci37842207,1514673178050,"9km NE of Aguanga, CA",0.62,-116.7891667,33.4948333,4.66,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842207
hv70001677,1514672284770,"12 km SSE of Volcano, Hawaii",1.52,-155.1823333,19.342,5.64,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv70001677
us2000cj03,1514672071430,"Izu Islands, Japan region",4.4,141.1308,29.5621,49.59,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us2000cj03
ak017gqcs4on,1514671857833,"36 km W of Cantwell, Alaska",1.2,-149.6708,63.3761,6.8,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak017gqcs4on
ak017gqcrmgh,1514671701613,"30 km NW of Susitna, Alaska",1.4,-150.8287,61.767,61.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak017gqcrmgh
ci37842175,1514671624420,"10km NE of Aguanga, CA",0.64,-116.7898333,33.5118333,6.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842175
ci37842167,1514671064930,"9km NE of Aguanga, CA",0.51,-116.7831667,33.4923333,4.32,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842167
nn00616702,1514671048372,"29 km SW of Hawthorne, Nevada",1.2,-118.9058,38.3758,8.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00616702
us2000cj00,1514670950590,"190 km SSW of ‘Ohonua, Tonga",4.8,-175.6552,-22.9258,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us2000cj00
ci37842159,1514670941380,"9km NE of Aguanga, CA",1.13,-116.7868333,33.4911667,4.68,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842159
us1000bybf,1514670407910,"46 km SW of Calama, Chile",4.0,-69.1811,-22.7991,83.42,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us1000bybf
ci37842151,1514670406580,"3km W of Pomona, CA",0.54,-117.7841667,34.063,12.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842151
nc72946386,1514670148000,"14km W of Toms Place, CA",0.48,-118.8368333,37.5768333,1.83,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946386
nc72946381,1514670116540,"15km SSE of Tres Pinos, CA",1.09,-121.2806667,36.6551667,6.35,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946381
ci37842143,1514669879910,"8km WSW of Beaumont, CA",1.12,-117.0638333,33.9121667,15.47,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37842143
nn00616701,1514669749404,"28 km WSW of Hawthorne, Nevada",0.8,-118.9063,38.3892,8.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00616701
us2000cizy,1514669558360,"Pagan region, Northern Mariana Islands",3.8,145.76,18.558,166.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us2000cizy
nc72946376,1514669535280,"16km SSE of Tres Pinos, CA",2.7,-121.2766667,36.6533333,6.35,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc72946376
