id,time,place,magnitude,longitude,latitude,depth,status,type,url
ak019gqdnbjb,1577750167123,"49 km NW of Rampart, Alaska",1.9,-150.9195,65.8268,13.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqdnbjb
pr2019364106,1577750026170,"3 km SSE of Maria Antonia, Puerto Rico",2.0,-66.8718,17.9515,7.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019364106
ak019gqdkz6p,1577749516515,"43 km ENE of Cantwell, Alaska",2.2,-148.1463,63.5418,11.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqdkz6p
ci39018143,1577749013900,"21 km E of Coso Junction, CA",0.44,-117.710333333333,36.0615,2.66,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39018143
nc73321576,1577748703630,"8km SSW of Kettleman City, CA",2.75,-120.0093333,35.9461667,7.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73321576
ak019gqdi16g,1577748703009,"44 km ENE of Pedro Bay, Alaska",2.3,-153.3519,59.9099,142.6,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqdi16g
nc73321571,1577748531330,"3km NW of Castro Valley, CA",2.64,-122.1111667,37.7113333,5.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73321571
nc73321566,1577748225670,"5km S of Kettleman City, CA",1.7,-119.9565,35.9666667,5.62,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73321566
ci39018103,1577748127850,"8km NNW of Borrego Springs, CA",1.3,-116.4038333,33.3211667,4.54,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39018103
nc73321561,1577748103510,"5km NW of The Geysers, CA",0.29,-122.7905,38.8163333,4.35,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73321561
pr2019364102,1577747754080,"10 km S of Indios, Puerto Rico",2.22,-66.8298,17.8961,7.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019364102
pr2019364100,1577747428630,"2 km NNE of Fuig, Puerto Rico",2.01,-66.9091,18.0068,5.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019364100
ci37503349,1577747322430,"8km N of Anza, CA",0.33,-116.6761667,33.6295,12.76,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci37503349
ci39018079,1577747315160,"8km N of Anza, CA",0.49,-116.677,33.6291667,12.88,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39018079
ci39018087,1577747226030,"18 km SSW of Searles Valley, CA",0.87,-117.457666666667,35.6118333333333,3.68,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39018087
ci10234054,1577747204460,"14 km ENE of Ridgecrest, CA",0.2,-117.529833333333,35.6731666666667,3.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci10234054
ak019gqdc6lz,1577747053888,"40 km W of Clear, Alaska, Alaska",1.2,-150.0065,64.1884,10.8,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqdc6lz
pr2019364099,1577746881940,"11 km SSE of Maria Antonia, Puerto Rico",2.03,-66.8323,17.8896,6.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019364099
ak019gqd2kml,1577746775651,"50 km ESE of Pedro Bay, Alaska",1.8,-153.2262,59.6905,111.8,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqd2kml
pr2019364098,1577746730760,"4 km SSE of Guánica, Puerto Rico",1.96,-66.8891,17.9346,7.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2019364098
ak019gqd24m1,1577746675415,"43 km NNE of Valdez, Alaska",1.5,-145.9162,61.4645,42.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqd24m1
mb80376654,1577746581690,"12 km NNE of Tetonia, Idaho",1.46,-111.0815,43.9091667,14.26,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80376654
ak019gqd1bpc,1577746427840,"69 km S of Shungnak, Alaska",1.4,-157.1997,66.2658,4.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak019gqd1bpc
