id,time,place,magnitude,longitude,latitude,depth,status,type,url
ak021gqdo2gn,1640908798752,"70 km ESE of Denali Park, Alaska",0.8,-147.5464,63.5469,8.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdo2gn
ak021gqdl0q4,1640907936843,"36 km WSW of Four Mile Road, Alaska",0.8,-149.8627,64.5222,15.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdl0q4
hv72852062,1640907636160,"10 km ENE of P?hala, Hawaii",1.87,-155.387664794922,19.2373332977295,31.5499992370605,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72852062
ak021gqdjvxz,1640907634451,"10 km ESE of Talkeetna, Alaska",2.2,-149.9277,62.2905,2.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdjvxz
nc73669336,1640907258390,"7km W of Cobb, CA",0.01,-122.8008333,38.831,2.87,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669336
ak021gqdhyj7,1640907070322,"54 km W of Salamatof, Alaska",1.2,-152.3041,60.5831,88.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdhyj7
ak021gqdgqti,1640906729156,"47 km SE of Pope-Vannoy Landing, Alaska",1.7,-153.8834,59.2591,119.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdgqti
us7000gaxq,1640906558756,"Izu Islands, Japan region",4.2,142.3701,30.9772,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000gaxq
ak021gqdg0oa,1640906523327,"36 km SW of Manley Hot Springs, Alaska",0.9,-151.0935,64.7343,9.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdg0oa
mb80534864,1640906503910,"24 km WNW of Stanley, Idaho",2.05,-115.212,44.3086667,13.33,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/mb80534864
ci39899295,1640906225940,"22km WNW of Searles Valley, CA",0.98,-117.6388333,35.8291667,7.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899295
nc73669326,1640905920560,"9km WSW of Petrolia, CA",2.59,-124.3785,40.2821667,21.74,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669326
nc73669321,1640905817540,"8km NW of The Geysers, CA",0.85,-122.8115005,38.831501,2.93,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669321
nc73669331,1640905792830,"11km E of Mammoth Lakes, CA",0.14,-118.853,37.6496667,2.29,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669331
ci39899287,1640905268510,"15km ENE of Ridgecrest, CA",0.69,-117.5221667,35.6616667,6.62,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci39899287
ak021gqdbekc,1640905250486,"70 km S of Manley Hot Springs, Alaska",0.9,-150.8866,64.3763,8.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqdbekc
nc73669316,1640904950970,"11km E of Mammoth Lakes, CA",0.4,-118.8525,37.6498333,2.25,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669316
nc73669311,1640904762560,"11km E of Mammoth Lakes, CA",0.65,-118.8513333,37.6503333,3.13,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669311
nc73669306,1640904710930,"23km W of Petrolia, CA",2.54,-124.5521667,40.2963333,19.67,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669306
uu60475712,1640904619280,"16 km SSE of Sunnyside, Utah",1.48,-110.2958333,39.4236667,-2.84,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60475712
ak021gqcyjm6,1640904073467,"Kenai Peninsula, Alaska",1.1,-150.9658,60.9701,56.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqcyjm6
hv72851982,1640904013230,"8 km E of P?hala, Hawaii",1.97000003,-155.395492553711,19.1971664428711,30.1000003814697,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72851982
ak021gqcwmfp,1640903514127,"34 km SW of Manley Hot Springs, Alaska",2.2,-151.1057,64.7613,17.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak021gqcwmfp
us7000g832,1640903437995,"14 km SSE of Buffalo, Wyoming",2.7,-106.6514,44.2202,5.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000g832
nc73669301,1640903073370,"17km S of Kettleman City, CA",1.49,-119.9518333,35.8591667,7.01,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nc73669301
uu60475707,1640901460940,"15 km SSE of Sunnyside, Utah",1.57,-110.312,39.4255,-1.54,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60475707
hv72851942,1640901346810,"2 km SSW of P?hala, Hawaii",2.02999997,-155.489669799805,19.1818332672119,34.2700004577637,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv72851942
nn00830758,1640901323916,"24 km N of Sutcliffe, Nevada",0.8,-119.6454,40.1636,8.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00830758
us7000g82q,1640901302277,"6 km SW of Palaióchora, Greece",4.1,23.6359,35.1863,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000g82q
us7000g82m,1640900849310,"20 km WNW of Stanley, Idaho",2.7,-115.1636,44.3015,10.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us7000g82m
