id,time,place,magnitude,longitude,latitude,depth,status,type,url
ak018gqdnz4w,1546214355846,Central Alaska,1.1,-148.5708,63.8476,11.4,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak018gqdnz4w
hv70751906,1546214299600,"7 km ENE of P?hala, Hawaii",1.9,-155.4100037,19.2206669,34.12,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv70751906
nn00672545,1546213840435,"28 km S of Dyer, Nevada",0.5,-118.0407,37.4082,8.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00672545
ak018gqdk52n,1546213286551,"44 km NNW of Valdez, Alaska",1.5,-146.5451,61.5165,28.3,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak018gqdk52n
ci38411312,1546211712130,"9km NE of Aguanga, CA",0.74,-116.7971667,33.5005,1.75,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411312
uu60308507,1546211139630,"14 km ENE of Milford, Utah",0.57,-112.8481667,38.4268333,5.14,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60308507
hv70751841,1546211012370,"6 km SW of Volcano, Hawaii",1.77,-155.2836609,19.4023342,0.07,automatic,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/hv70751841
ak018gqdbbn5,1546210812652,"4 km SSE of Big Lake, Alaska",1.4,-149.9232,61.4799,37.1,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak018gqdbbn5
ci38411288,1546210613600,"3km SE of Lake Henshaw, CA",0.89,-116.7433333,33.2251667,11.47,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411288
ci38411280,1546210578040,"9km NE of Aguanga, CA",0.35,-116.7898333,33.4938333,5.29,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411280
pr2018364011,1546210083370,"1 km S of G. L. Garcia, Puerto Rico",1.73,-66.1041,18.1118,27.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/pr2018364011
nn00672540,1546209550612,"14 km WSW of Indian Springs, Nevada",0.3,-115.8249,36.5273,15.7,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/nn00672540
ci38411224,1546208486570,"9km NE of Aguanga, CA",0.55,-116.7955,33.5043333,4.35,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411224
av61879641,1546208284670,"41 km ENE of Adak, Alaska",0.11,-176.121,52.0748333,4.73,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/av61879641
ak018gqctkn9,1546208251259,"69 km ESE of Denali National Park, Alaska",1.5,-150.5645,63.2013,119.9,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak018gqctkn9
uu60308502,1546207963160,"19 km N of Paragonah, Utah",1.38,-112.7515,38.0613333,11.36,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/uu60308502
ci38411216,1546207572400,"9km NE of Aguanga, CA",0.37,-116.7988333,33.5021667,2.66,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411216
ci38411208,1546207389140,"6km NNE of San Dimas, CA",0.87,-117.7915,34.1636667,14.01,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ci38411208
us2000izaw,1546207366770,"240 km NNE of Saipan, Northern Mariana Islands",4.6,146.5719,17.2361,35.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us2000izaw
av70818719,1546207026020,"46 km NE of Adak, Alaska",1.58,-176.087,52.1136667,4.5,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/av70818719
us2000j55x,1546206680690,"135 km W of Ternate, Indonesia",4.5,126.1752,0.9506,35.0,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/us2000j55x
ak018gqcf1m1,1546206592738,"6 km WNW of Point MacKenzie, Alaska",1.4,-150.0959,61.3819,46.8,reviewed,earthquake,https://earthquake.usgs.gov/earthquakes/eventpage/ak018gqcf1m1
